BeadNumber,Target,featureID,symbol,cytokine,analyteID,inputID,dataSource,dataType,Mix,Lot
12,MIP-1 alpha,LU.MIP.1.alpha,CCL3,CCL3,12,Analyte.12,Luminex,LM,F,110935000
13,SDF-1alpha,LU.SDF.1alpha,CXCR4,CXCR4,13,Analyte.13,Luminex,LM,F,110935000
14,IL-27,LU.IL.27,IL27,IL27,14,Analyte.14,Luminex,LM,C,127171000
15,LIF,LU.LIF,LIF,LIF,15,Analyte.15,Luminex,LM,G,114538000
18,IL-1 beta,LU.IL.1 beta,IL1B,IL1B,18,Analyte.18,Luminex,LM,B,117476000
19,IL-2,LU.IL.2,IL2,IL2,19,Analyte.19,Luminex,LM,B,117476000
20,IL-4,LU.IL.4,IL4,IL4,20,Analyte.20,Luminex,LM,B,117476000
21,IL-5,LU.IL.5,IL5,IL5,21,Analyte.21,Luminex,LM,B,117476000
22,IP-10,LU.IP.10,CXCL10,CXCL10,22,Analyte.22,Luminex,LM,F,110935000
25,IL-6,LU.IL.6,IL6,IL6,25,Analyte.25,Luminex,LM,B,117476000
26,IL-7,LU.IL.7,IL7,IL7,26,Analyte.26,Luminex,LM,D,120070000
27,IL-8,LU.IL.8,IL8,IL8,27,Analyte.27,Luminex,LM,F,110935000
28,IL-10,LU.IL.10,IL10,IL10,28,Analyte.28,Luminex,LM,C,127171000
29,PIGF-1,LU.PIGF.1,PIGF,PIGF-1,29,Analyte.29,Luminex,LM,G,114538000
33,Eotaxin,LU.Eotaxin,CCL11,CCL11,33,Analyte.33,Luminex,LM,F,110935000
34,IL-12p70,LU.IL.12p70,IL12,IL12p70,34,Analyte.34,Luminex,LM,B,117476000
35,IL-13,LU.IL.13,IL13,IL13,35,Analyte.35,Luminex,LM,B,117476000
36,IL-17A,LU.IL.17A,IL17A,IL17A,36,Analyte.36,Luminex,LM,C,127171000
37,IL-31,LU.IL.31,IL31,IL31,37,Analyte.37,Luminex,LM,D,120070000
38,IL-1RA,LU.IL.1RA,IL1RA,IL1RA,38,Analyte.38,Luminex,LM,D,120070000
39,SCF,LU.SCF,SCF,SCF,39,Analyte.39,Luminex,LM,G,114538000
42,RANTES,LU.RANTES,CCL5,CCL5,42,Analyte.42,Luminex,LM,F,110935000
43,INF-gamma,LU.INF.gamma,IFNG,IFNG,43,Analyte.43,Luminex,LM,B,117476000
44,GM-CSF,LU.GM.CSF,CSF2,CSF2,44,Analyte.44,Luminex,LM,B,117476000
45,TNF-alpha,LU.TNF.alpha,TNFA,TNFA,45,Analyte.45,Luminex,LM,B,117476000
46,HGF,LU.HGF,HGF,HGF,46,Analyte.46,Luminex,LM,G,114538000
47,MIP-1 beta,LU.MIP.1 beta,CCL4,CCL4,47,Analyte.47,Luminex,LM,F,110935000
48,INF-alpha,LU.INF.alpha,IFNA1,IFNA1,48,Analyte.48,Luminex,LM,D,120070000
51,MCP-1,LU.MCP.1,CCL2,CCL2,51,Analyte.51,Luminex,LM,F,110935000
52,IL-9,LU.IL.9,IL9,IL9,52,Analyte.52,Luminex,LM,C,127171000
53,VEGF-D,LU.VEGF.D,VEGFD,VEGFD,53,Analyte.53,Luminex,LM,G,114538000
54,TNF-beta,LU.TNF.beta,TNFB,TNFB,54,Analyte.54,Luminex,LM,D,120070000
55,bDNF,LU.bDNF,BDNF,BDNF,55,Analyte.55,Luminex,LM,G,114538000
56,EGF,LU.EGF,EGF,EGF,56,Analyte.56,Luminex,LM,G,114538000
57,BDNF,LU.BDNF,BDNF,BDNF,57,Analyte.57,Luminex,LM,G,114538000
61,GRO-alpha,LU.GRO.alpha,CXCL1,CXCL1,61,Analyte.61,Luminex,LM,F,110935000
62,IL-1 alpha,LU.IL.1.alpha,IL1A,IL1A,62,Analyte.62,Luminex,LM,D,120070000
63,IL-23,LU.IL.23,IL23,IL23,63,Analyte.63,Luminex,LM,C,127171000
65,IL-15,LU.IL.15,IL15,IL15,65,Analyte.65,Luminex,LM,D,120070000
66,IL-18,LU.IL.18,IL18,IL18,66,Analyte.66,Luminex,LM,B,117476000
72,IL-21,LU.IL.21,IL21,IL21,72,Analyte.72,Luminex,LM,C,127171000
75,FGF-2,LU.FGF.2,FGF2,FGF2,75,Analyte.75,Luminex,LM,G,114538000
76,IL-22,LU.IL.22,IL22,IL22,76,Analyte.76,Luminex,LM,C,127171000
77,PDGF-BB,LU.PDGF.BB,PDGFB,PDGFB,77,Analyte.77,Luminex,LM,G,114538000
78,VEGF-A,LU.VEGF.A,VEGFA,VEGFA,78,Analyte.78,Luminex,LM,G,114538000
